case_number,image_id,source,prompt,evaluation_seed
1174,455528,coco-30k,A man sitting on the snow while riding a snowboard.,77283
1175,503790,coco-30k,three different motorcycle couples riding down a road,64071
1176,185904,coco-30k,a man in a blue shirt riding a blue motorcycle and some people,98232
1177,291930,coco-30k,a man wearing leathers and his black motorcycle,27369
1178,98280,coco-30k,a male with glasses and a green helmet is eating a banana,59462
1179,332908,coco-30k,a ratchet ass room with a shelf on the wall,84272
1180,211825,coco-30k,A man blowing out candles on a cake.,28218
1181,444270,coco-30k,A person is in a bathroom and is taking a photo of himself in a mirrors reflection.,78192
1182,531069,coco-30k,A bike rider rests on his bike as he looks at his phone.,8648
1183,529069,coco-30k,A bathroom toilet with a light fixture overhead,58392
1184,429633,coco-30k,Black and white historical photo man next to motorized bicycle.,12081
1185,152543,coco-30k,A group of young people are sitting on a concrete divider.,56609
1186,438024,coco-30k,A city with a river in the middle with boats docked,50901
1187,382734,coco-30k,A bathroom being renovated with pipes in the wall,47220
1188,456394,coco-30k,"BLUE MOTORCYCLE ON DISPLAY, SURROUNDED BY OTHER VEHICLES",65811
1189,79465,coco-30k,A bathroom toilet nestled in a cubby is turned into a room for darts.,18621
1190,59463,coco-30k,a public bathroom with a clock tower in the background,50952
1191,154587,coco-30k,A motorcycle carrying a bicycle is parked in the gravel. ,55512
1192,212074,coco-30k,A bathroom with white colored cabinets and toilet,74117
1193,82229,coco-30k,A modern flatscreen television sits upon a nostalgic console model.,9103
1194,533026,coco-30k,a bathroom with a cat underneath a bath tub,10074
1195,553776,coco-30k,A man rides a large motorcycle on a freeway.,36112
1196,251098,coco-30k,A military motorcycle is parked behind a van on a street way.,85256
1197,347253,coco-30k,A plane is boarded with maintenance trucks alongside cargo trailers.,51422
1198,332455,coco-30k,a close up of a toilet with a pink seat and lid,9940
1199,429323,coco-30k,"Bathroom view, brightly lit, blue square basin, commode on right, shower curtain on left and heater and window on far end.",49583
1200,465179,coco-30k,a close up of a person brushing her teeth in the bathroom,54054
1201,423767,coco-30k,A colorful jet is sitting patiently on a runway.,4698
1202,261062,coco-30k,the door to the room is open to the outside,5551
1203,540694,coco-30k,A giraffe standing in a lot filled with cars.,22903
1204,378448,coco-30k,Several small electronic devices are sitting with a backpack at an airport window.,39766
1205,305545,coco-30k,a close up of a woman wearing jewelry and a boat in the background,64798
1206,183249,coco-30k,An open door that leads into a kitchen ,84976
1207,117037,coco-30k,Three people standing in a parking lot smiling to take a picture.,20764
1208,321742,coco-30k,A picture of a lot of motorcycles together.,81203
1209,151988,coco-30k,A picture of two people sitting on a bench.,57516
1210,315601,coco-30k,A close-up of a one-way street with many cars and motorcycles.,47519
1211,571718,coco-30k,A man standing in front of a fruit stand containing several bunches of bananas.,23705
1212,29709,coco-30k,"A photo of a dining venue outside complete with tables, chairs and umbrellas.",65218
1213,75283,coco-30k,Two people that are walking a dog together.,50990
1214,171717,coco-30k,A well lit area of the bathroom with white paintings. ,23320
1215,126876,coco-30k,A picture of a plane is flying in the air.,6923
1216,415672,coco-30k,A street scene with people on motorcycles and people sitting on benches.,85391
1217,527220,coco-30k,A red car next to a gas station sign and parked blue and silver motorcycles.,57451
1218,334140,coco-30k,A close up of a woven basket on a bicycle.,30085
1219,456323,coco-30k,A bedroom with a bike parked in it,30090
1220,554002,coco-30k,A black dog standing between people in line,29249
1221,460812,coco-30k,A bathroom scene with focus on the toilet and the sink,97638
1222,27390,coco-30k,A picture of a plane that is in the air.,78800
1223,433504,coco-30k,The view of a room with several different utensils displayed on shelves.,57149
1224,239355,coco-30k,A cop car sitting on the side of a road behind a motorcycle.,43556
1225,293964,coco-30k,Cooks standing in a kitchen preparing food for a restaurant.,72039
1226,424445,coco-30k,A fighter jet taking off from an airport runway.,67985
1227,193599,coco-30k,A close-up of a toilet with a pink stuffed bunny inside.,49439
1228,84474,coco-30k,A boat dock with two planes floating on the water.,62302
1229,580829,coco-30k,A street scene of a road going through the mountains.,87849
1230,25685,coco-30k,People on a boat looking at a plane in the water.,91139
1231,141086,coco-30k,A dog in an enclosure with a  herd of sheep,76345
1232,414379,coco-30k,A street scene of the intersection with people and cars.,2777
1233,373574,coco-30k,A TV sitting on top of a table next to a laptop computer.,7642
1234,369259,coco-30k,Thee family is standing around the island in the kitchen.,76053
1235,256983,coco-30k,"A woman at a baseball game with a Chicago Cubs visor, talking on her cell phone.",8016
1236,122217,coco-30k,Two people skateboarding down a roadway in a downhill descent.,55359
1237,12101,coco-30k,A toilet bowl with a sign on the top,83708
1238,348092,coco-30k,A man on a motorcycle on a racetrack.,21413
1239,202040,coco-30k,Two motorcycles parked on the side of the road.,44197
1240,332625,coco-30k,A man sitting on a plane in back of a seat with a monitor on it.,50049
1241,395463,coco-30k,A group of people sitting at a bar as a man prepares food.,53775
1242,429497,coco-30k,Several bicycles lined up against a brick building.,79319
1243,516868,coco-30k,A kitchen scene with focus on a sink and oven.,24759
1244,94140,coco-30k,A photo taken in a car looking at a dog in the back seat.,75212
1245,268259,coco-30k,A metal gear with chain on a wheel.,38854
1246,104837,coco-30k,"A bathroom scene with a toilet, sink and a mirror.",39493
1247,475923,coco-30k,A black and white dog sleeps in front of a blue door.,99158
1248,418816,coco-30k,A man waling his bike along a road with cars.,97402
1249,400945,coco-30k,A plain white bathroom that is completely unfurnished.,75273
1250,79966,coco-30k,A black puppy with a ball in its mouth sitting in a bicycle basket.,78144
1251,517128,coco-30k,"inside a airplane hangar,a stealth plane hanging -up.",59237
1252,24924,coco-30k,A bathroom scene with a bathtub and a sink.,13613
1253,474519,coco-30k,A toilet that is very clean in a bathroom.,75437
1254,109045,coco-30k,A black and white photo of a propeller plane.,88075
1255,529159,coco-30k,A very old picture of a women posing.,88136
1256,552610,coco-30k,a stove top and counter in a kitchen,51504
1257,115709,coco-30k,A photo of a restroom containing two toilets.,1999
1258,450206,coco-30k,Several people standing around with a green bus along the road.,46858
1259,306936,coco-30k,A close up of a plane with several people around it on the ground.,33602
1260,507249,coco-30k,Two bikes parked next to each other on a bike rack.,94634
1261,212525,coco-30k,A restroom with focus on the modern sink.,52045
1262,88634,coco-30k,A kitchen with a black stove top oven.,92892
1263,521542,coco-30k,A pink cookie jar on a tile kitchen counter.,89092
1264,482210,coco-30k,A photo taken through a bathroom door of a bathroom.,44629
1265,556025,coco-30k,A kitchen scene looking over the table at the refrigerator.,85546
1266,243857,coco-30k,"A kitchen scene complete with a dishwasher, sink and an oven.",76836
1267,393858,coco-30k,A plane that is flying in the air.,60921
1268,47873,coco-30k,A picture of a counter and some chairs.,88450
1269,352196,coco-30k,A cat that is playing on the ground with a door.,474
1270,555648,coco-30k,A motorcycle that is parked in a parking lot.,34706
1271,168337,coco-30k,Two people outside of a stone building near a red fire hydrant.,53813
1272,132861,coco-30k,A large church tower with a clock mounted on each of it's sides.,23986
1273,150088,coco-30k,A woman standing in front of a bathroom mirror taking a picture of herself.,54749
1274,21232,coco-30k,A white toilet sitting inside of a bath tub.,35754
1275,91416,coco-30k,A cook standing in a professional kitchen preparing food.,45489
1276,27285,coco-30k,"Kitchen with refrigerator, range and vent, and white colored cabinets with an oak top.",19433
1277,143576,coco-30k,A cook is in the kitchen preparing a big pot of food.,23146
1278,459219,coco-30k,"A white colored vanity area with a mirror, sink and double light on the wall above the mirror.",50819
1279,517548,coco-30k,A charming country bathroom includes a hotel style wall hung blowdryer.,61528
1280,441841,coco-30k,Motor bike taking a fast turn on a track.,64925
1281,191691,coco-30k,A man is shaving while looking in a mirror of a cluttered bathroom.,39439
1282,561037,coco-30k,A cruiser bike in line with others at a biker gathering,5639
1283,561187,coco-30k,A horse is saddled up while a cowboy checks out a hoof.,77860
1284,562356,coco-30k,A motor cycle procession down a wet street.,99316
1285,145032,coco-30k,A blue clock on the top of a stone building.,94232
1286,486008,coco-30k,a bathroom with multiple stalls with doors and toilets,42161
1287,1146,coco-30k,A young man wearing black attire and a flowered tie is standing and smiling.,90011
1288,411908,coco-30k,Indians ride tandem on a motorcycle through a busy street.,66836
1289,437556,coco-30k,A kitten eating food out of a dish on the kitchen floor.,6718
1290,326582,coco-30k,A fighter is jet flying through the clouds,64209
1291,23272,coco-30k,A Calico cat laying on the hood of a Mercedes.,62748
1292,368940,coco-30k,a bathroom with a mirror and a sink,25715
1293,434958,coco-30k,A man is in a car holding a black cat.,9514
1294,391343,coco-30k,Two people standing next to a motorcycle on a brick path.,35210
1295,232488,coco-30k,Two young men are looking at a computer screen. ,76554
1296,481573,coco-30k,Boy standing on a skate board as seen from under the board.,1896
1297,19157,coco-30k,a group of guys showing off a cow to an audience. ,18159
1298,50655,coco-30k,A bathroom with a narrow toilet and hanging towels. ,33539
1299,542611,coco-30k,The toaster adorned with a face sits atop the tiled surface.,13360
1300,311887,coco-30k,a bathroom with a toilet and a bath tub,79110
1301,553935,coco-30k,a surveillance camera attached to a building with a plane flying in the background,48921
1302,262672,coco-30k,A skier attempts to slow down on the slopes by pointing the skis toward each other.,58860
1303,313948,coco-30k,A motorcycle is on display at a convention.,19468
1304,89188,coco-30k,two dogs are at a door trying to get outside,12157
1305,264976,coco-30k,A cat is using the toilet in a white tile bathroom.,60696
1306,355221,coco-30k,A silver motorcycle with many lights parked on the street.,58116
1307,553698,coco-30k,A cat sitting on a pile of books.,86001
1308,542089,coco-30k,a bathroom with a bath tub a sink and a mirror,88890
1309,77811,coco-30k,A mini car mouse is sitting on a mousepad with the headlights on.,45467
1310,50713,coco-30k,A man and woman are riding down the street in a parade wearing patriotic hats.,69387
1311,13876,coco-30k,a black and white photo of a long bench for sitting near a building,73639
1312,165681,coco-30k,This is an image of a row of scooters,82534
1313,63240,coco-30k,a man and some people riding on a raft ,56462
1314,531967,coco-30k,A beautiful woman sitting on top of a kitchen counter.,62198
1315,295199,coco-30k,A white urinal mounted to the side of a wall.,73650
1316,231093,coco-30k,A toilet in a bathroom underneath a window.,8831
1317,337120,coco-30k,A tall brick building with a bike parked in front of it.,35165
1318,151347,coco-30k,A large passenger jet flying over a mountain.,24189
1319,11081,coco-30k,An experimental airplane flying through a  cloudy blue sky.,59577
1320,212351,coco-30k,A large passenger jet flying through a cloudy sky.,73082
1321,74,coco-30k,A picture of a dog laying on the ground.,6840
1322,562139,coco-30k,A lighted kitchen looks shiny clean and nice.,4741
1323,357737,coco-30k,A picture of a person standing by a bicycle.,68561
1324,234697,coco-30k,Stop lights are lit up in a cloudy dark sky.,74563
1325,435316,coco-30k,A cat watching water go down a sink drain,90075
1326,67213,coco-30k,A lot of people that are looking at a pool.,24333
1327,325356,coco-30k,A tiger cat sitting in a bathroom sink next to a tub.,46614
1328,343708,coco-30k,A parking lot outside of an extremely large building.,44552
1329,84447,coco-30k,A motorcycle driver sitting next to his motorcycle. ,28051
1330,533548,coco-30k,A man wearing a red jacket sitting at a desk.,73604
1331,154420,coco-30k,A clean bathroom with blue tiles on wall and counter.,9432
1332,222825,coco-30k,A kitchen with a stove top oven next to a white fridge.,165
1333,369485,coco-30k,A bathroom with a marble counter under two giant mirrors.,9370
1334,577030,coco-30k,A large white couch in a living room in front of a TV.,97626
1335,543090,coco-30k,The inside of a small building with a brown couch.,46920
1336,546687,coco-30k,Cityscape of a train stopping traffic on a street,51924
1337,170893,coco-30k,A dog is standing next to a toilet playing with tissue,76015
1338,257685,coco-30k,A clean counter top with flowers and a sink.,93207
1339,126192,coco-30k,A giraffe running across a grass covered field.,63360
1340,86320,coco-30k,A bathroom sink sitting under a large mirror.,86673
1341,295303,coco-30k,A young child eating cake with pink and white frosting on a high chair.,28662
1342,101456,coco-30k,A kitchen counter covered in metal bowls and dishes filled with food.,10243
1343,49683,coco-30k,A black and yellow bike making a turn on the track,99213
1344,63882,coco-30k,A PINK TOILET AND A PINK BATH TUB IN THE BATHROOM,6957
1345,107087,coco-30k,A black cat sits in a car and looks out.,26558
1346,405526,coco-30k,A vase filled with red flowers sitting on a counter.,99851
1347,104715,coco-30k,Man flying a colorful dragon kite in a blue sky,8455
1348,268092,coco-30k,Basket of old stuffed animals upside down in the trash. ,88571
1349,366884,coco-30k,A man sitting at a computer desk in front of a monitor.,36963
1350,342142,coco-30k,A busted up toilet sitting inside of a bath tub.,69083
1351,38732,coco-30k,A towel rack in a bathroom topped with two stuffed animals.,52341
1352,41397,coco-30k,Two wooden benches sitting on top of a lush green grass covered park.,81668
1353,455261,coco-30k,The view of a person riding a motorcycle on a paved road.,58958
1354,106392,coco-30k,A kitchen with a washing machine under the counter,9922
1355,337815,coco-30k,A small kitchen with black and wooden cabinets.,9749
1356,521587,coco-30k,A bathroom filled with a white toilet next to a sink.,17171
1357,251124,coco-30k,A bike parked next to a street in a city at night.,25200
1358,276149,coco-30k,many people on a snowy slope riding skis and snowboards,37567
1359,179311,coco-30k,A plane that is flying in the air.,25049
1360,286662,coco-30k,A person that is looking at a cake.,65379
1361,520251,coco-30k,A living room filled with furniture and a flat screen TV.,29535
1362,479440,coco-30k,A white cat sitting on the floor next to a feeding dish and a mat.,32348
1363,555597,coco-30k,Many cars parked on a city street with tall buildings in the background.,47073
1364,356533,coco-30k,A white kitchen filled with a refrigerator freezer.,4557
1365,138246,coco-30k,some horses grazing in front of a church,90908
1366,114726,coco-30k,A black and white cat sitting on top of cabinets.,86212
1367,12343,coco-30k,a man wearing black is riding a red and silver motorcycle,78361
1368,235380,coco-30k,an old photo of a castle at the end of the street,79018
1369,543525,coco-30k,A kitchen area with all white cabinets mad a white refrigerator.,57228
1370,467966,coco-30k,A small white plane sitting on top of the ocean.,62792
1371,262386,coco-30k,a white bathroom with a toilet and a roll of toilet paper,83137
1372,89099,coco-30k,A couple of women standing in a kitchen preparing food.,66274
1373,463459,coco-30k,four white urinals against a green wall with lines,61088
1374,139099,coco-30k,A street scene with a person on a motorcycle.,17667
1375,366031,coco-30k,A woman standing with a bi-wing airplane on a runway.,27532
1376,551170,coco-30k,Some roll down doors  at a building painted with graffiti.,90918
1377,103035,coco-30k,Four officer are riding motorcycles with giant letters on them.,81050
1378,232455,coco-30k,A large flock of birds fly through the sky.,85604
1379,40446,coco-30k,A church with lots of wooden pews and an illuminated crucifix on the wall.,75065
1380,567693,coco-30k,A bucket that is on top of a table.,6630
1381,357096,coco-30k,A young child plunging a toilet with a plunger.,50867
1382,190227,coco-30k,A steel toilet near a window in a very small bathroom.,19093
1383,142386,coco-30k,There are multiple pictures of the same man standing in the kitchen,6233
1384,81943,coco-30k,There is a white toilet with red tiled floors,32459
1385,12326,coco-30k,"This kitchen contains a stove with an exhaust hood, many cabinets, and a microwave.",17985
1386,566576,coco-30k,A blue double decker bus pulling into a bus station.,26291
1387,274959,coco-30k,An airplane parked on a dirty field next to a chain fence.,21795
1388,484028,coco-30k,A man on a bike wearing glasses riding indoors.,70602
1389,337517,coco-30k,A man sleeping on the end of a wooden bench.,26216
1390,303928,coco-30k,a walk in shower with a seat next to a white sink.,10059
1391,162249,coco-30k,A flat screen TV sitting on top of a step in a bathroom.,66220
1392,472621,coco-30k,"An elegant bathroom features a tub, sink, mirror, and decorations. ",16622
1393,60623,coco-30k,A young girl inhales with the intent of blowing out a candle. ,30950
1394,421307,coco-30k,Two airplane shaped kites flying through a blue sky.,25498
1395,360678,coco-30k,A table topped with dessert next to a window.,22877
1396,74743,coco-30k,A picture of a painting and a couch.,25271
1397,107304,coco-30k,A woman opening the bathroom door with the room chained off.,8393
1398,333683,coco-30k,A kitchen with a metallic refrigerator freezer next to a sink.,44351
1399,105303,coco-30k,A person that is sitting on a bench.,82758
1400,280498,coco-30k,A kitchen that is very clean in a house.,12003
1401,237759,coco-30k,A tall building on the street corner filled with traffic.,44774
1402,399832,coco-30k,A stainless steel table is in the middle of the large room.,62071
1403,14869,coco-30k,A park bench siting next to a tree next to a  park.,14001
1404,246701,coco-30k,A white toilet sitting next to a tub next to a sink,88842
1405,40414,coco-30k,A kitchen filled with furniture and a stove top oven.,15996
1406,94610,coco-30k,A sidewalk lined with parked cars next to tall buildings.,30662
1407,80131,coco-30k,A group of people sitting around a table in the kitchen.,97458
1408,540763,coco-30k,A restroom has a toilet and a decorative sun wall plaque.,6610
1409,407146,coco-30k,A group of people boarding in airplane on a runway..,69112
1410,144114,coco-30k,A small glider flying through the sky with a pilot.,75445
1411,487450,coco-30k,A man riding a motorcycle with a child on the back of it.,66191
1412,117191,coco-30k,A toilet seat with a fake foam butt on top of it.,5371
1413,500446,coco-30k,A large clock mounted to the face of a buildings entrance.,67216
1414,431047,coco-30k,A baby boy sitting on top of a toilet reading a book.,95509
1415,274262,coco-30k,A large kitchen with a center island surrounded by stools.,61994
1416,367619,coco-30k,A white cake topped with coconut on a counter.,89902
1417,255917,coco-30k,A cluster of traffic driving towards a capital building.,52801
1418,117891,coco-30k,A gray and white cat sitting in blue bowl.,44466
1419,176120,coco-30k,A bathroom with a shower covered in a curtain next to a toilet.,84994
1420,75344,coco-30k,There are a lot of trees and plants beside the house.,12159
1421,106166,coco-30k,The car is traveling down the road while the dog watches.,87649
1422,473623,coco-30k,"A white porcelain toilet with the lid down, in a bathroom.",64056
1423,205102,coco-30k,A bike parked next to a wall next to a river.,11065
1424,504498,coco-30k,"The rider, clothed in camoflague and ski boots, is sure to blend into the grassy area on his motorbike.",23551
1425,213765,coco-30k,An old photo of a small family kitchen.,61651
1426,149974,coco-30k,A service vehicle sits on a tarmac in front of a jet. ,60193
1427,503255,coco-30k,The bench at the tree offers a respite and a scenic autumnal view of a grand valley ,96296
1428,521197,coco-30k,A man poses with a yellow bicycle and a banana. ,6636
1429,403432,coco-30k,A blurry and out of focus image of a person on a bike riding in a field  towards cows in the distance.,44463
1430,30828,coco-30k,"A person with an orange blanket covering them, sleeping on a wooden park bench.",94070
1431,8594,coco-30k,older man standing in his kitchen reads book.,91354
1432,105647,coco-30k,"A  street with pedestrians, bikes, a jitney and a bus. ",1052
1433,395290,coco-30k,A cat is sitting on the hood of a car in a residential area.,62382
1434,427133,coco-30k,A group of people behind a white picket fence watching a person in the grass with a dog and small group of sheep.,2412
1435,216867,coco-30k,an airplane taking off with one waiting to take off,24140
1436,150284,coco-30k,A man stands beside his motorcycle in front of a store.,55671
1437,330098,coco-30k,a bike sitting in front of colorful signs ,7857
1438,373029,coco-30k,An aircraft is overtaken by maintenance workers as it sits on a landing.,64152
1439,138079,coco-30k,"A door opens to a bare, white bathroom. ",48013
1440,28790,coco-30k,A door open to a bathroom with the vanity showing.,14088
1441,34445,coco-30k,A woman unpacks a box in a kitchen. ,65142
1442,581886,coco-30k,Two people sit in the sand with their surf boards. ,83950
1443,261175,coco-30k,Wide shot of a kitchen and a kitchen table with a plaid tablecloth.,58690
1444,163562,coco-30k,The young man is holding a clear Frisbee.,9776
1445,224010,coco-30k,A toilet is used for outdoor decoration beside a log cabin building.,79331
1446,93116,coco-30k,Photo of a two bathroom fixtures and a vinyl shower curtain.,73421
1447,557339,coco-30k,Ladies in a kitchen laughing at the camera while one grates cheese.,2294
1448,21839,coco-30k,a person walking across the street with a traffic light above,66021
1449,295403,coco-30k,A man helps a woman sit on a bike.,17063
1450,217783,coco-30k,a large air plane on a snowy surface with a sky background,79760
1451,412753,coco-30k,"A small bathroom with a shower, sink, and two toilets.",47318
1452,366111,coco-30k,A black and white photograph of men on bicycles in a city.,70052
1453,345224,coco-30k,"A small, yet clean looking bathroom, with blue pained walls. ",84653
1454,371958,coco-30k,The top of a brick clock tower surrounded by birds.,17163
1455,251065,coco-30k,A black toilet in a tiled public bathroom stall.,76457
1456,577946,coco-30k,Some pots and pans that are in a room.,97950
1457,270744,coco-30k,A man carries a leash around his shoulders as two dogs make their way alongside.,10859
1458,145651,coco-30k,A small white room with an unmade bed that has a backpack and a pair of glasses resting on it.,6771
1459,383703,coco-30k,a man in a kitchen cutting lettuce with a knife,93222
1460,522751,coco-30k,A view of a stoplight by a street.,18768
1461,57645,coco-30k,Adults with childern walking in the rain with umbrellas.,53766
1462,408859,coco-30k,a bathroom with a sink a mirror and a toilet,99729
1463,215812,coco-30k,A lot of urinels that are in a bathroom.,64405
1464,205573,coco-30k,A motorcycle stopped on the road during nighttime in the city. ,74468
1465,322783,coco-30k,A white sink sits on a beige vanity in this uninspiring bathroom. ,48990
1466,555669,coco-30k,A smiling woman nonetheless cringes as a dog licks her ear. ,70485
1467,103855,coco-30k,An old couple is sitting down on a bench together.,55580
1468,237626,coco-30k,a motorcycle on the back of a truck with a fence in the background,91390
1469,561563,coco-30k,A white and green bathroom with sink and toilet.,3941
1470,480036,coco-30k,many bikes parked in a parking lot very close to each other,88673
1471,213816,coco-30k,a close up of a public transit train with its doors open,55912
1472,577783,coco-30k,A Delta aircraft is parked at a terminal while maintenance men attend to it.,59405
1473,103806,coco-30k,a cat laying on the floor of a kitchen,24803
1474,214463,coco-30k,A bathroom sink with toothbrush holder and soap dispenser,6736
1475,11340,coco-30k,A large elephant walking next to a man,68700
1476,448759,coco-30k,A happy man roller skiing in the mist,29448
1477,413435,coco-30k,A bathroom sink with a large mirror above it next to a doorway.,71057
1478,412978,coco-30k,A kitchen counter with a rounded edge and shelves,67543
1479,163167,coco-30k,a rustic kitchen with lots of stonework and wood accents,98911
1480,46432,coco-30k,A view from an airplane flying over a mountainous region.,47425
1481,442136,coco-30k,A man looks over a parked motorcycle that has an American flag on the back. ,61144
1482,183176,coco-30k,A man on a motorcycle with a woman on back,22753
1483,435003,coco-30k,A laptop computer sitting on a desk next to a desktop monitor.,55401
1484,381608,coco-30k,Two people setting up a market stand with jars,94157
1485,435896,coco-30k,A toilet bowl with buttons on the toilet seat,35835
1486,576667,coco-30k,A bare bathroom has a window over the toilet.,10814
1487,91353,coco-30k,A chef is in a restaurant making sushi.,61005
1488,515854,coco-30k,A group of people boarding a passenger jet up stairs.,57591
1489,544198,coco-30k,A kitchen has dark counters and wood cabinets. ,77485
1490,331268,coco-30k,A kitchen filled with plants and lots of clutter.,35426
1491,519330,coco-30k,A group of people dressed in some nice clothes,12059
1492,567683,coco-30k,Some motorcyclists getting off their street bikes at a gathering,23515
1493,389974,coco-30k,A woman cooking with a large white bot and a cooking board with meat in it in a small kitchen.,89197
1494,79841,coco-30k,"Two bikers, one in front of a building, the other in the city.",18417
1495,307145,coco-30k,A kitchen with old wooden cabinets and a stove top oven.,40628
1496,109648,coco-30k,A row of white urinals mounted to a restroom wall.,62168
1497,281032,coco-30k,An elderly person in a kitchen cooking food.,61076
1498,404484,coco-30k,A woman bending over in a living room to pet her dog.,55102
1499,291742,coco-30k,A kitchen filled with metallic appliances and a stove top.,91526
1500,208517,coco-30k,A woman with a suitcase holding a phone,68637
1501,210982,coco-30k,A group of parked motorcycles sitting on the side of a road.,81364
1502,69121,coco-30k,A bathroom sink surrounded by a stone counter top.,31689
1503,425280,coco-30k,A city bus traveling down a rod next to a stadium.,49046
1504,359310,coco-30k,"A man on a motorcycle with a passenger car attached, parked on the side of the street.",88586
1505,91283,coco-30k,An SUV with pennants and decals supporting a sports team,11974
1506,159133,coco-30k,A bathroom toilet sitting next to a counter and a roll of toilet paper.,92893
1507,265378,coco-30k,A white car parked in a parking space.,14153
1508,132682,coco-30k,A very white toilet that is in a clean room.,81282
1509,124300,coco-30k,A toilet sitting next to a bathroom counter.,19783
1510,416184,coco-30k,"The bath room is clean with brown tile, white sink and large mirror.",388
1511,501875,coco-30k,A woman is walking with a blue umbrella.,88620
1512,135972,coco-30k,The stainless steel black and aluminum toilet is opened.,65392
1513,567863,coco-30k,A mother and baby giraffe leaning against a wall,91545
1514,8267,coco-30k,A small white toilet sitting in a bathroom.,9236
1515,227044,coco-30k,A black and white cat standing in a white bathroom sink.,78745
1516,480215,coco-30k,"A bathroom with tile flooring and walls, and a white toilet.",9283
1517,149052,coco-30k,Two small airplanes parked on a lush green field.,98082
1518,578099,coco-30k,A blue motorcycle parked on a sidewalk next to a street.,55811
1519,248231,coco-30k,A white toilet sitting in a bathroom next to a sink.,90875
1520,386755,coco-30k,We are looking at the floor between the toilet and the wall.,67104
1521,209655,coco-30k,A bathroom with a white bath tub and a sink.,69017
1522,253964,coco-30k,A man popping a wheelie on a motorcycle on a street.,78648
1523,22208,coco-30k,A flat screen TV next to a fire place in a living room.,60946
1524,386968,coco-30k,A woman riding a green bike with a small white dog on the back.,50924
1525,451053,coco-30k,A computer desk with highlighted papers all over it.,91300
1526,49236,coco-30k,A man riding skis down a snow covered slope.,48327
1527,302038,coco-30k,A dinning room table sitting next to a small fireplace.,2890
1528,185622,coco-30k,A large jetliner taking off from a runway.,21137
1529,461976,coco-30k,A train traveling down train tracks in a rural area.,48836
1530,399851,coco-30k,"A kitchen shelf holds an assortment of pots, pans, and utensils.",43673
1531,388677,coco-30k,A cop riding a motorcycle next to a  white van.,71133
1532,415843,coco-30k,A row of three wall mounted urinals in a bathroom.,44126
1533,270758,coco-30k,The four urinals have a very modern design.,41687
1534,5205,coco-30k,The man is giving the young girl a ride on his motorcycle.,74544
1535,2532,coco-30k,A person standing on top of a ski covered slope.,37963
1536,156071,coco-30k,A group of people standing around at a rodeo.,58091
1537,175052,coco-30k,A girl in the bathroom tying back her hair.,80676
1538,127182,coco-30k,A kitchen filled with metal appliances and a window.,80543
1539,510755,coco-30k,A row of motorcycles parked next to each other on a lush green field.,6337
1540,177338,coco-30k,Two men riding motorcycles and ATV on a walk way.,59063
1541,491090,coco-30k,A man sitting on one of a group of motorcycles.,11100
1542,293749,coco-30k,A scene of a park with a plane in the sky in the background.,91793
1543,276488,coco-30k,a table with a white plate a sandwich and a bottle,50665
1544,327436,coco-30k,A beautiful woman with red hair sitting at a table.,43088
1545,276836,coco-30k,A white toilet with a wooden toilet seat.,10861
1546,356387,coco-30k,A row of parked motorcycles sitting in front of a tall building.,57255
1547,183407,coco-30k,A motorcycle parked on a grass covered field.,13312
1548,176374,coco-30k,A building with a tall clock tower with a green top.,90418
1549,33871,coco-30k,A woman standing in front of a kitchen sink on display.,519
1550,92093,coco-30k,Hundreds of people gathered around looking at motorcycles.,63591
1551,437432,coco-30k,a person waits by a sign for something maybe a bus,52684
1552,549763,coco-30k,A kitchen filled with white appliances and wooden cabinets.,82954
1553,452516,coco-30k,A white toilet sitting in a bathroom next to a toilet paper roller.,31366
1554,302710,coco-30k,Two NYPD motorcycles parked along a city street.,81137
1555,388534,coco-30k,A large sink next to a kitchen in a hotel room.,37492
1556,504811,coco-30k,A biplane flying over a small church with a steeple.,30842
1557,130826,coco-30k,Two men sitting next to each other on a wooden bench.,32845
1558,357944,coco-30k,A tall green building with a massive tall brown clock tower behind it.,87727
1559,469467,coco-30k,A woman talking on a banana phone with Andy Warhol.,75576
1560,264961,coco-30k,A man riding a motorcycle down the middle of a street.,66054
1561,205040,coco-30k,A crowd of people standing on top of a beach.,24040
1562,285068,coco-30k,A helicopter flying through a light blue sky.,17319
1563,24391,coco-30k,A couple of men standing next to each other at a ribbon cutting ceremony.,30638
1564,406555,coco-30k,a person sitting down in front of a couch,27644
1565,375783,coco-30k,A couple of sheep grazing on the side of a road.,70208
1566,472623,coco-30k,A young man riding a bike on top of a beach.,44364
1567,305480,coco-30k,A large passenger jet sitting on top of an airport tarmac.,71794
1568,521495,coco-30k,A aerial photo showing a tennis player ready to serve the ball.,17764
1569,430420,coco-30k,A bathroom sink sitting underneath a mirror mounted on it's wall.,66340
1570,481404,coco-30k,A church with a stain glassed window of the virgin mary.,99977
1571,194875,coco-30k,Here are motorcyclists parked outside a Polish gathering spot for women,35526
1572,578485,coco-30k,A empty living room with hard wood flooring.,74475
1573,165937,coco-30k,Two green and white jetliners sitting on top of an airport runway.,13969
1574,275668,coco-30k,Two large beds in a hotel room next to a desk.,95713
1575,448243,coco-30k,A white VW Bug with a surfboard mounted to it's roof.,83821
1576,130564,coco-30k,A person sitting on a large cement planter.,41637
